id,word,pinyin,definition,definition_th,level,example_sentence,example_pinyin
42,坏,huài,bad; spoiled; broken; to break down,ไม่ดี; เสีย; แตกหัก; พัง,1,这个苹果坏了。,Zhège píngguǒ huài le.
43,回,huí,to return; to go back; to come back,กลับ; กลับไป; กลับมา,1,我回家。,wǒ huí jiā.
44,机场,jī chǎng,airport,สนามบิน,1,我去机场。,Wǒ qù jīchǎng.
45,机票,jī piào,airplane ticket,ตั๋วเครื่องบิน,1,我买机票。,wǒ mǎi jī piào.
46,记得,jì de,"to remember, to recall","จำได้, ระลึกได้",1,我记得你的名字。,Wǒ jì de nǐ de míngzi.
47,记,jì,to remember; to memorize; to record,จำ; บันทึก; จดจำ,1,我记你的名字。,Wǒ jì nǐ de míngzi.
48,见面,jiàn miàn,"to meet (someone), to see each other","พบกัน, เจอกัน",1,我们明天见面。,wǒ men míng tiān jiàn miàn.
49,间,"jiān, jiàn",room; space between; to separate,ห้อง; ช่องว่าง; แยก,1,房间很大。,Fángjiān hěn dà.
50,叫,jiào,to call; to be called; to shout,เรียก; ถูกเรียกว่า; ตะโกน,1,你叫什么名字？,Nǐ jiào shénme míngzi?
51,今天,jīn tiān,today,วันนี้,1,今天天气很好。,jīn tiān tiān qì hěn hǎo.
52,进,jìn,to enter; to go in; to come in,เข้า; เข้ามา; ก้าวหน้า,1,请进。,Qǐng jìn.
53,就,jiù,"just, only, as early as, already, then, to approach, concerning","เพียง, เฉพาะ, เร็วเท่านี้, แล้ว, จากนั้น, เข้าใกล้, เกี่ยวกับ",1,我就去学校。,Wǒ jiù qù xuéxiào.
54,考,kǎo,"to test, to examine, to take an exam","ทดสอบ, ตรวจสอบ, สอบ",1,我明天要考试。,Wǒ míngtiān yào kǎoshì.
55,课文,kè wén,lesson text,บทเรียน,1,我读课文。,wǒ dú kè wén.
56,口,kǒu,"mouth; opening; classifier for things with openings (people, animals, wells, etc.)","ปาก; ช่อง; หน่วยนับสำหรับสิ่งที่มีช่องเปิด (คน, สัตว์, บ่อน้ำ, ฯลฯ)",1,我有一口井。,wǒ yǒu yī kǒu jǐng.
57,老,lǎo,old; experienced; used as a prefix before surnames to show familiarity or respect.,เก่าแก่; มีประสบการณ์; ใช้เป็นคำนำหน้าชื่อสกุลเพื่อแสดงความคุ้นเคยหรือความเคารพ,1,他是我的老师。,Tā shì wǒ de lǎoshī.
58,两,liǎng,"two; both; a few; a tael (unit of weight, about 50 grams)",สอง; ทั้งสอง; สองสาม; ตำลึง (หน่วยน้ำหนักประมาณ 50 กรัม),1,我有两个苹果。,Wǒ yǒu liǎng gè píngguǒ.
59,零,líng,zero; nought; (used between numbers to indicate a smaller quantity followed by a larger one),ศูนย์; เลขศูนย์; (ใช้ระหว่างตัวเลขเพื่อระบุจำนวนน้อยตามด้วยจำนวนมาก),1,我有零个苹果。,Wǒ yǒu líng gè píngguǒ.
60,路,"Lù, lù",road; path; way,ถนน; ทาง,1,这条路很长。,Zhè tiáo lù hěn cháng.
61,马上,mǎ shàng,"immediately, right away","ทันที, ในทันที",1,我马上来。,wǒ mǎ shàng lái.
62,毛,"Máo, máo","hair, fur, feather, wool; coarse, raw; young; careless; nervous; (currency) fractional unit","ขน, ขนสัตว์, ขนนก, ขนแกะ; หยาบ, ดิบ; อ่อนวัย; ประมาท; ตื่นเต้น; (หน่วยเงิน) เศษส่วน",1,小猫有白毛。,Xiǎo māo yǒu bái máo.
63,门,"Mén, mén","door, gate",ประตู,1,这是门。,Zhè shì mén.
64,门口,mén kǒu,"doorway, entrance","ทางเข้า, ประตู",1,他在门口等我。,tā zài mén kǒu děng wǒ.
65,门票,mén piào,entrance ticket,ตั๋วเข้าชม,1,门票很贵。,mén piào hěn guì.
66,们,men,plural marker for pronouns and nouns referring to people,คำลงท้ายแสดงพหูพจน์สำหรับสรรพนามและคำนามที่หมายถึงบุคคล,1,他们是我的朋友。,Tāmen shì wǒ de péngyou.
67,名字,míng zi,name,ชื่อ,1,我的名字是小明。,Wǒ de míng zi shì Xiǎo Míng.
68,明天,míng tiān,tomorrow,พรุ่งนี้,1,明天我去学校。,míng tiān wǒ qù xué xiào.
69,哪,"nǎ, na, něi",which? (interrogative pronoun),ไหน? (คำสรรพนามคำถาม),1,你是哪国人？,Nǐ shì nǎ guó rén?
70,哪里,nǎ lǐ,"where; used to ask about location, or as a humble response to compliments meaning 'not at all'",ที่ไหน; ใช้ถามเกี่ยวกับสถานที่ หรือใช้ตอบรับคำชมอย่างถ่อมตัวว่า 'ไม่เลย',1,你在哪里？,Nǐ zài nǎ lǐ?
71,奶奶,nǎi nai,grandma (paternal grandmother),ยาย (ฝ่ายพ่อ),1,奶奶在喝茶。,nǎi nai zài hē chá.
72,男,nán,male,ผู้ชาย,1,他是男人。,Tā shì nánrén.
73,南边,nán bian,south side; southern part; to the south,ด้านใต้; ส่วนทางใต้; ทางทิศใต้,1,我家在南边。,wǒ jiā zài nán bian.
74,你,nǐ,"you (informal, singular)","คุณ (ไม่เป็นทางการ, ใช้กับบุคคลเดียว)",1,你好吗？,Nǐ hǎo ma?
75,您,nín,you (polite/formal form),คุณ (รูปสุภาพ/ทางการ),1,您好，老师。,"Nín hǎo, lǎoshī."
76,年,"Nián, nián",year,ปี,1,我今年五岁。,Wǒ jīnnián wǔ suì.
77,女儿,nǔ ér,daughter,ลูกสาว,1,我的女儿很可爱。,Wǒ de nǚ ér hěn kě ài.
78,女朋友,nǔ péng you,girlfriend,แฟนสาว,1,她是我的女朋友。,tā shì wǒ de nǔ péng you.
79,跑,"páo, pǎo",to run; to run away; to escape; to run errands; to leak or evaporate (of gas/liquid),วิ่ง; หนี; หลบหนี; วิ่งไปทำธุระ; รั่วหรือระเหย (ของก๊าซหรือของเหลว),1,我每天跑步。,Wǒ měitiān pǎobù.
80,起床,qǐ chuáng,to get up (from bed),"ลุกจากเตียง, ตื่นนอน",1,我七点起床。,wǒ qī diǎn qǐ chuáng.
81,起来,"qǐ lai, qi lai","Used after a verb to indicate the beginning or continuation of an action, upward movement, or gathering things together; also used after perception verbs to express a preliminary judgment.",ใช้หลังคำกริยาเพื่อแสดงการเริ่มต้นหรือการดำเนินต่อของกิริยา การเคลื่อนไหวขึ้นด้านบน หรือการรวบรวมสิ่งของเข้าด้วยกัน; ใช้หลังคำกริยาที่เกี่ยวกับการรับรู้เพื่อแสดงการตัดสินเบื้องต้น,1,他站起来了。,Tā zhàn qǐ lai le.
82,请,qǐng,to request; to invite; please (used to make polite requests),เชิญ; กรุณา; ขอ (ใช้เพื่อขอร้องอย่างสุภาพ),1,请坐。,qǐng zuò.
83,请进,qǐng jìn,please come in,เชิญเข้ามา,1,请进，这是我的家。,"Qǐng jìn, zhè shì wǒ de jiā."
84,去年,qù nián,last year,ปีที่แล้ว,1,去年我去北京。,Qù nián wǒ qù Běijīng.
85,热,rè,"hot (temperature), heat","ร้อน (อุณหภูมิ), ความร้อน",1,今天很热。,Jīntiān hěn rè.
86,认识,rèn shi,"to know, to recognize, to be familiar with","รู้จัก, จำได้, คุ้นเคย",1,我认识他。,Wǒ rèn shi tā.
87,去,qù,to go (to a place),ไป (สถานที่),1,我去学校。,Wǒ qù xuéxiào.
88,上,"shǎng, shàng",on; above; up; to go up; to attend,บน; ข้างบน; ขึ้น; ไปข้างบน; เข้าเรียน,1,我在上面。,Wǒ zài shàngmiàn.
89,上班,shàng bān,to go to work; to be at work,ไปทำงาน; อยู่ที่ทำงาน,1,我每天上班。,wǒ měi tiān shàng bān.
90,上网,shàng wǎng,to go online; to connect to the internet,ออนไลน์; เชื่อมต่ออินเทอร์เน็ต,1,我上网学习。,wǒ shàng wǎng xué xí.
91,上次,shàng cì,last time,ครั้งที่แล้ว,1,我上次去北京。,Wǒ shàng cì qù Běijīng.
92,身体,shēn tǐ,body; health,ร่างกาย; สุขภาพ,1,我的身体很好。,wǒ de shēn tǐ hěn hǎo.
93,生气,shēng qì,to get angry; to be angry,โกรธ; โมโห,1,妈妈生气了。,mā ma shēng qì le.
94,时间,shí jiān,time,เวลา,1,现在是什么时间？,xiàn zài shì shén me shí jiān?
95,试,shì,"to try, to test",ลอง ทดสอบ,1,我试试这个。,wǒ shì shì zhè ge.
96,是不是,shì bù shì,is or isn't; yes or no; whether or not,ใช่หรือไม่ใช่; ใช่หรือเปล่า; หรือไม่,1,你是不是学生？,Nǐ shì bù shì xuéshēng?
97,手,shǒu,hand; a person skilled in a particular activity,มือ; ผู้ที่มีความเชี่ยวชาญในกิจกรรมเฉพาะอย่าง,1,我的手很小。,Wǒ de shǒu hěn xiǎo.
98,水,"Shuǐ, shuǐ",water; liquid; beverage,น้ำ; ของเหลว; เครื่องดื่ม,1,我喝水。,Wǒ hē shuǐ.
99,说,"shuì, shuō","to speak, to say, to talk","พูด, กล่าว",1,他说中文。,Tā shuō zhōngwén.
100,岁,suì,year; years old (measure word for age),ปี; อายุ (หน่วยนับอายุ),1,我五岁了。,Wǒ wǔ suì le.
101,她们,tā men,they/them (referring to females),พวกเธอ (ใช้เรียกผู้หญิงหลายคน),1,她们是学生。,tā men shì xué sheng.
102,他,tā,"he, him (third person singular pronoun, can refer to males or gender-neutral contexts)",เขา (สรรพนามบุรุษที่สามเอกพจน์ ใช้เรียกผู้ชายหรือในบริบทที่ไม่ระบุเพศ),1,他是我的朋友。,Tā shì wǒ de péngyou.
103,听写,tīng xiě,dictation (a test where the teacher reads aloud and students write down what they hear),การเขียนตามคำบอก (การทดสอบที่ครูอ่านออกเสียงและนักเรียนเขียนตามที่ได้ยิน),1,老师听写汉字。,lǎo shī tīng xiě hàn zì.
104,听,"yǐn, tīng, tìng",to listen; to hear,ฟัง; ได้ยิน,1,我听音乐。,Wǒ tīng yīnyuè.
105,同学,tóng xué,classmate; fellow student,เพื่อนร่วมชั้นเรียน; เพื่อนนักเรียน,1,这是我的同学。,Zhè shì wǒ de tóng xué.
106,晚上,wǎn shang,"evening, night","ช่วงเย็น, กลางคืน",1,我晚上看书。,wǒ wǎn shang kàn shū.
107,网友,wǎng yǒu,online friend; internet friend,เพื่อนออนไลน์; เพื่อนทางอินเทอร์เน็ต,1,我的网友是中国人。,Wǒ de wǎng yǒu shì zhōng guó rén.
108,忘,wàng,to forget,ลืม,1,我忘了你的名字。,Wǒ wàngle nǐ de míngzi.
109,我们,wǒ men,"we, us, our","เรา, พวกเรา, ของเรา",1,我们是朋友。,wǒ men shì péng you.
110,午饭,wǔ fàn,lunch,อาหารกลางวัน,1,我吃午饭。,wǒ chī wǔ fàn.
111,西边,xī biān,west side; western part; to the west,ด้านตะวันตก; ส่วนตะวันตก; ทางทิศตะวันตก,1,我家在西边。,wǒ jiā zài xī biān.
112,喜欢,xǐ huan,to like; to be fond of,ชอบ; ชื่นชอบ,1,我喜欢吃苹果。,Wǒ xǐ huan chī píng guǒ.
113,下,xià,"down; below; lower; next (e.g., next week); second (of two parts); to go down; to descend; to arrive at (a conclusion); measure word for actions",ลง; ข้างล่าง; ต่ำกว่า; ถัดไป (เช่น สัปดาห์หน้า); ที่สอง (จากสองส่วน); ลงไป; ลดลง; มาถึง (ข้อสรุป); คำลักษณนามแสดงความถี่ของการกระทำ,1,我下午去学校。,Wǒ xiàwǔ qù xuéxiào.
114,下雨,xià yǔ,to rain,ฝนตก,1,今天下雨了。,jīn tiān xià yǔ le.
115,先生,"Xiān sheng, xiān sheng","teacher, sir, mister, husband (formal)","คุณครู, คุณผู้ชาย, สามี (ทางการ)",1,他是我的老师。,Tā shì wǒ de lǎoshī.
116,想,xiǎng,to think; to want; to miss,คิด; ต้องการ; คิดถึง,1,我想你。,Wǒ xiǎng nǐ.
117,小孩儿,xiǎo háir,child (with erhua pronunciation),เด็ก (ออกเสียงแบบเอ๋อร์ฮวา),1,那个小孩儿在玩。,nà ge xiǎo háir zài wán.
118,小朋友,xiǎo péng yǒu,"child, kid",เด็ก,1,小朋友在公园玩。,xiǎo péng yǒu zài gōng yuán wán.
119,小学生,xiǎo xué shēng,primary school student,นักเรียนประถมศึกษา,1,他是小学生。,tā shì xiǎo xué shēng.
120,谢谢,xiè xie,"thank you, thanks",ขอบคุณ,1,谢谢你。,xiè xie nǐ.
121,星期,xīng qī,week,สัปดาห์,1,今天星期几？,jīn tiān xīng qī jǐ?
122,星期日,Xīng qī rì,Sunday,วันอาทิตย์,1,星期日是星期天。,Xīng qī rì shì xīng qī tiān.
123,行,"háng, xíng",to walk; to go; to travel; to do; capable; okay,เดิน; ไป; เดินทาง; ทำ; สามารถ; ตกลง,1,我走路去学校。,Wǒ zǒu lù qù xuéxiào.
124,学院,xué yuàn,college; institute; school,วิทยาลัย; สถาบันการศึกษา; คณะ,1,我的学院很大。,wǒ de xué yuàn hěn dà.
125,衣服,yī fu,"clothing, clothes",เสื้อผ้า,1,我的衣服很新。,Wǒ de yī fu hěn xīn.
126,也,"Yě, yě","also, too","ก็, ด้วย",1,我也喜欢苹果。,Wǒ yě xǐhuan píngguǒ.
127,一,yī,one; a single; the number 1,หนึ่ง; ตัวเลข 1; หนึ่งเดียว,1,我有一个苹果。,Wǒ yǒu yī gè píngguǒ.
128,一点儿,yī diǎnr,a little bit; a small amount,เล็กน้อย; นิดหน่อย,1,我喝一点儿水。,wǒ hē yī diǎnr shuǐ.
129,一样,yī yàng,"same, alike, equal to","เหมือนกัน, เท่ากัน",1,我和他一样高。,wǒ hé tā yī yàng gāo.
130,有名,yǒu míng,"famous, well-known","มีชื่อเสียง, เป็นที่รู้จัก",1,他是很有名的老师。,Tā shì hěn yǒu míng de lǎoshī.
131,用,yòng,to use; to employ; to utilize,ใช้; ใช้ประโยชน์; ใช้งาน,1,我用笔写字。,Wǒ yòng bǐ xiě zì.
132,右,yòu,right (direction or side),ขวา (ทิศทางหรือด้าน),1,我的右手很大。,Wǒ de yòushǒu hěn dà.
133,雨,"yǔ, yù",rain,ฝน,1,今天下雨了。,Jīntiān xià yǔ le.
134,再,zài,again; once more; another time,อีกครั้ง; อีกที,1,明天再见。,Míngtiān zàijiàn.
135,在,zài,to be at/in/on; to exist; indicating an action in progress,อยู่ที่/ใน/บน; มีอยู่; บ่งบอกถึงการกระทำที่กำลังดำเนินอยู่,1,妈妈在做饭。,Māma zài zuò fàn.
136,怎么,zěn me,how?; what?; why?,อย่างไร?; อะไร?; ทำไม?,1,你怎么去学校？,Nǐ zěn me qù xué xiào?
137,找,zhǎo,"to look for, to find, to seek","หา, ค้นหา, มองหา",1,我找我的书。,Wǒ zhǎo wǒ de shū.
138,这,zhè,"this, these","นี่, เหล่านี้ (ใช้ชี้เฉพาะ)",1,这是我的书。,zhè shì wǒ de shū.
139,着,"zhāo, zháo, zhe, zhuó",to wear (clothes); to be wearing; to be in a state of (action),สวมใส่ (เสื้อผ้า); กำลังอยู่ในสภาพ (ของการกระทำ),1,他穿着白衣服。,tā chuān zhe bái yī fu.
140,正,"zhēng, zhèng",straight; upright; proper; main; principal; to correct; to rectify; exactly; just (at that time); right (in that place); (math.) positive,ตรง; ตั้งตรง; เหมาะสม; หลัก; สำคัญ; แก้ไข; ตรงเวลา; ถูกต้อง; (คณิตศาสตร์) บวก,1,现在是正午。,Xiànzài shì zhèngwǔ.
141,中,"Zhōng, zhōng, zhòng","middle, center; China; to hit (the mark), to win","กลาง, ศูนย์กลาง; จีน; ถูกเป้า, ได้รับรางวัล",1,我在中国。,Wǒ zài Zhōngguó.
142,中学,zhōng xué,middle school,โรงเรียนมัธยมศึกษา,1,我上中学。,wǒ shàng zhōng xué.
143,中学生,zhōng xué shēng,middle school student,นักเรียนมัธยม,1,他是中学生。,tā shì zhōng xué shēng.
144,住,zhù,to live; to reside; to stay; to stop,อาศัยอยู่; พักอยู่; หยุด,1,我住在北京。,Wǒ zhù zài Běijīng.
145,走,zǒu,"to walk, to go, to leave","เดิน, ไป, ออกไป",1,我走回家。,wǒ zǒu huí jiā.
146,最后,zuì hòu,"last, final, finally","สุดท้าย, ท้ายที่สุด",1,我最后去学校。,wǒ zuì hòu qù xué xiào.
147,左,"Zuǒ, zuǒ",left (direction or side),ด้านซ้าย (ทิศทางหรือด้าน),1,我的家在左边。,Wǒ de jiā zài zuǒbiān.
148,做,zuò,to do; to make; to be (a profession),ทำ; สร้าง; เป็น (อาชีพ),1,我做饭。,wǒ zuò fàn.
149,爱,ài,to love; to like,"รัก, ชอบ",1,我爱妈妈。,Wǒ ài māma.
150,爱好,ài hào,hobby; interest; to like,งานอดิเรก; ความสนใจ; ชอบ,1,我的爱好是看书。,wǒ de ài hào shì kàn shū.
151,爸爸,bà ba,"father, dad","พ่อ, คุณพ่อ",1,我爸爸是老师。,Wǒ bà ba shì lǎoshī.
152,吧,ba,A sentence-final particle used to make suggestions or requests.,"เถอะ, นะ (ใช้ลงท้ายประโยคเพื่อแสดงการแนะนำหรือการขอร้อง)",1,我们走吧。,Wǒmen zǒu ba.
153,白,bái,white,"ขาว, สีขาว",1,这是白猫。,Zhè shì bái māo.
154,白天,bái tiān,daytime,กลางวัน,1,白天很热。,bái tiān hěn rè.
155,百,bǎi,hundred,ร้อย,1,一百个人。,yī bǎi gè rén.
156,班,bān,"class, team, shift","ชั้นเรียน, กลุ่ม, กะ (ทำงาน)",1,我的班很好。,Wǒ de bān hěn hǎo.
157,半,bàn,half,ครึ่ง,1,我吃半个苹果。,Wǒ chī bàn gè píngguǒ.
158,半年,bàn nián,half a year,ครึ่งปี,1,我来中国半年了。,Wǒ lái Zhōngguó bàn nián le.
159,八,bā,eight,แปด,1,我有八本书。,Wǒ yǒu bā běn shū.
160,半天,bàn tiān,half a day; a long time; quite a while,ครึ่งวัน; (เวลา) นานมาก; พักใหญ่,1,我等了半天。,wǒ děng le bàn tiān.
161,帮,bāng,to help,ช่วย,1,我帮你。,Wǒ bāng nǐ.
162,帮忙,bāng máng,"to help, to lend a hand, to do a favor","ช่วยเหลือ, ช่วยมือ, ทำความช่วยเหลือ",1,你能帮忙吗？,Nǐ néng bāng máng ma?
163,包子,bāo zi,steamed stuffed bun,ซาลาเปา,1,我吃包子。,wǒ chī bāo zi.
164,杯子,bēi zi,"cup, glass, mug","แก้วน้ำ, ถ้วย",1,这是我的杯子。,Zhè shì wǒ de bēi zi.
165,出去,chū qù,to go out,ออกไปข้างนอก,1,我想出去玩儿。,Wǒ xiǎng chū qù wánr.
166,本,běn,"this, the current, original; classifier for books, periodicals, files, etc.","นี้, ปัจจุบัน, ดั้งเดิม; หน่วยนับสำหรับหนังสือ, นิตยสาร, ไฟล์, ฯลฯ",1,这是我的书。,Zhè shì wǒ de shū.
167,北京,Běi jīng,"Beijing, the capital city of China.",ปักกิ่ง เมืองหลวงของประเทศจีน,1,我去北京。,Wǒ qù Běi jīng.
168,北,běi,north,ทิศเหนือ,1,北京在北边。,Běijīng zài běi biān.
169,别,"Bié, bié, biè",don't; used to express prohibition or advice against doing something,อย่า; ใช้แสดงการห้ามหรือแนะนำไม่ให้ทำบางสิ่ง,1,别说话。,Bié shuōhuà.
170,别的,bié de,"other, else, different","อื่น, อื่นๆ, แตกต่าง",1,我不要别的。,Wǒ bú yào bié de.
171,病,bìng,illness; sickness,ความเจ็บป่วย; โรค,1,他病了。,Tā bìng le.
172,病人,bìng rén,patient; sick person,ผู้ป่วย,1,他是病人。,tā shì bìng rén.
173,不大,bù dà,not very; not too; not often,ไม่ค่อย; ไม่มาก; ไม่บ่อย,1,我不大喜欢他。,Wǒ bù dà xǐhuān tā.
174,不用,bù yòng,no need to; don't have to,ไม่จำเป็นต้อง; ไม่ต้อง,1,你不用去。,nǐ bù yòng qù.
175,菜,cài,vegetable; dish; cuisine,ผัก; อาหาร; อาหารจานหนึ่ง,1,我喜欢吃菜。,Wǒ xǐhuān chī cài.
176,不对,bù duì,"incorrect, wrong","ไม่ถูกต้อง, ผิด",1,这个字不对。,Zhège zì bù duì.
177,不,bù,not; no (used to form negatives),ไม่ (ใช้สร้างประโยคปฏิเสธ),1,我不吃苹果。,Wǒ bù chī píngguǒ.
178,茶,chá,tea,ชา,1,我喝茶。,wǒ hē chá.
179,常常,cháng cháng,"often, frequently, usually","บ่อย ๆ, เป็นประจำ, มักจะ",1,我常常去学校。,wǒ cháng cháng qù xué xiào.
180,车,"Chē, chē, jū","vehicle, car, chariot (archaic), rook (in chess)","รถ, ยานพาหนะ, รถม้า (โบราณ), ตัวเรือ (หมากรุกจีน)",1,这是我的车。,Zhè shì wǒ de chē.
181,唱歌,chàng gē,to sing,ร้องเพลง,1,我喜欢唱歌。,Wǒ xǐhuan chàng gē.
182,车票,chē piào,ticket (for a bus or train),ตั๋วรถ (สำหรับรถบัสหรือรถไฟ),1,这是我的车票。,Zhè shì wǒ de chē piào.
183,车站,chē zhàn,bus stop; train station,ป้ายรถเมล์; สถานีรถไฟ,1,我在车站等你。,wǒ zài chē zhàn děng nǐ.
184,吃饭,chī fàn,to eat a meal,กินข้าว,1,我吃饭。,wǒ chī fàn.
185,出来,"chū lái, chu lai","Used after a verb to indicate coming out, completion of an action, or ability to discern or detect.",ใช้หลังคำกริยาเพื่อบ่งบอกการออกมา การเสร็จสิ้นของกิริยา หรือความสามารถในการแยกแยะหรือตรวจพบ,1,请出来一下。,Qǐng chū lái yīxià.
186,北边,běi biān,"north, north side, to the north","ทิศเหนือ, ด้านเหนือ, ทางเหนือ",1,学校在北边。,Xuéxiào zài běibiān.
187,床,chuáng,bed,เตียง,1,我的床很大。,Wǒ de chuáng hěn dà.
